Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
281,28261,196046,195006,35
173,17469,207392,206182,125
331,33154,192194,191604,913
159,16022,209830,209300,51
304,30585,195824,194904,48799
456,45712,181223,180563,25
356,35612,191836,191046,1593
184,18430,209568,208458,33
32,3390,225153,224253,51
496,49827,179211,178701,33
